competition_id,season_id(s),club_id,club_name
ES1,"2024,2023",681,Real Sociedad
ES1,"2024,2023",418,Real Madrid
ES1,"2024,2023",1049,Valencia CF
ES1,"2024,2023",472,UD Las Palmas
ES1,2024,714,RCD Espanyol Barcelona
ES1,"2024,2023",621,Athletic Bilbao
ES1,"2024,2023",1108,Deportivo Alavés
ES1,"2024,2023",131,FC Barcelona
GB1,"2024,2023",31,Liverpool FC
ES1,"2024,2023",13,Atlético de Madrid
GB1,"2024,2023",148,Tottenham Hotspur
ES1,2024,366,Real Valladolid CF
ES1,"2024,2023",940,Celta de Vigo
GB1,"2024,2023",405,Aston Villa
GB1,"2024,2023",631,Chelsea FC
ES1,"2024,2023",367,Rayo Vallecano
ES1,"2024,2023",1050,Villarreal CF
GB1,"2024,2023",11,Arsenal FC
ES1,"2024,2023",331,CA Osasuna
GB1,"2024,2023",703,Nottingham Forest
ES1,"2024,2023",12321,Girona FC
GB1,"2024,2023",379,West Ham United
GB1,2024,677,Ipswich Town
GB1,"2024,2023",873,Crystal Palace
ES1,"2024,2023",237,RCD Mallorca
GB1,"2024,2023",543,Wolverhampton Wanderers
GB1,2024,1003,Leicester City
GB1,"2024,2023",29,Everton FC
GB1,"2024,2023",931,Fulham FC
GB1,"2024,2023",1148,Brentford FC
GB1,"2024,2023",989,AFC Bournemouth
GB1,"2024,2023",1237,Brighton & Hove Albion
GB1,"2024,2023",985,Manchester United
GB1,"2024,2023",762,Newcastle United
GB1,2023,1132,Burnley FC
GB1,2023,1031,Luton Town
GB1,"2024,2023",281,Manchester City
ES1,"2024,2023",3709,Getafe CF
ES1,2023,16795,Granada CF
ES1,"2024,2023",150,Real Betis Balompié
ES1,2023,3302,UD Almería
GB1,2023,350,Sheffield United
ES1,2023,2687,Cádiz CF
ES1,"2024,2023",368,Sevilla FC
GB1,2024,180,Southampton FC
ES1,2024,1244,CD Leganés
